parametre,nom_m,polluant,coefficiens,p-valeurs
const,AGDE,NO2,-313.3298867471144,0.0
pression_niveau_mer_Pa,AGDE,NO2,0.0034821669437656967,0.014240282681440564
var_pression_3h_Pa,AGDE,NO2,0.023810823224516373,0.8580537084313056
direction_vent_moyen_10mn_deg,AGDE,NO2,-0.021129383622376027,0.7501144759795139
vitesse_vent_moyen_10mn_m/s,AGDE,NO2,1.3513173494852766,0.8452048035747428
temperature_K,AGDE,NO2,-0.06497758327430261,0.8352630537711943
humidite_%,AGDE,NO2,-0.11707201443184898,0.897121322011628
visibilite_horizontale_m,AGDE,NO2,-3.789237845410418e-05,0.9269776804135584
precipitations_24h_mm,AGDE,NO2,0.4065459964562185,0.7051386704727147
ar.L1,AGDE,NO2,0.21326056371742697,0.954845439753012
ma.L1,AGDE,NO2,0.17274607315416965,0.9658031700234219
ar.S.L12,AGDE,NO2,0.0,1.0
ma.S.L12,AGDE,NO2,0.0,1.0
ma.S.L24,AGDE,NO2,0.0,1.0
sigma2,AGDE,NO2,9.762393629447194,0.19798057986441364
const,AIRVAULT,NO2,438.93974261434107,0.0
pression_niveau_mer_Pa,AIRVAULT,NO2,-0.002303847739250815,0.0
var_pression_3h_Pa,AIRVAULT,NO2,0.04178681786577888,0.0
direction_vent_moyen_10mn_deg,AIRVAULT,NO2,0.02623331551890854,0.0
vitesse_vent_moyen_10mn_m/s,AIRVAULT,NO2,0.049555241001586925,0.0
temperature_K,AIRVAULT,NO2,-0.7374788273283653,0.0
humidite_%,AIRVAULT,NO2,0.26968162894570596,0.0
visibilite_horizontale_m,AIRVAULT,NO2,-0.00016228600950009284,0.0
precipitations_24h_mm,AIRVAULT,NO2,-0.901189844819756,0.0
ar.L1,AIRVAULT,NO2,-1.5147686135529654,0.0
ma.L1,AIRVAULT,NO2,1.4284556244818596,0.0
ar.S.L12,AIRVAULT,NO2,0.0,
ma.S.L12,AIRVAULT,NO2,0.0,
ma.S.L24,AIRVAULT,NO2,0.0,
sigma2,AIRVAULT,NO2,6.193369579012337,0.0
const,AIX-EN-PROVENCE,NO2,-1381.8032241643102,0.0
pression_niveau_mer_Pa,AIX-EN-PROVENCE,NO2,0.012526135891811719,1.5199505987765857e-12
var_pression_3h_Pa,AIX-EN-PROVENCE,NO2,-0.015093173374082348,0.9033357059770848
direction_vent_moyen_10mn_deg,AIX-EN-PROVENCE,NO2,0.025909321984765806,0.8621174469291646
vitesse_vent_moyen_10mn_m/s,AIX-EN-PROVENCE,NO2,4.614193538259756,0.4759291519465304
temperature_K,AIX-EN-PROVENCE,NO2,0.34746493739851675,0.45936979105637354
humidite_%,AIX-EN-PROVENCE,NO2,0.5136799887534188,0.5458348595460245
visibilite_horizontale_m,AIX-EN-PROVENCE,NO2,-0.00012336221293080666,0.7702108570453081
precipitations_24h_mm,AIX-EN-PROVENCE,NO2,-1.8079749793460695,0.6654563686309464
ar.L1,AIX-EN-PROVENCE,NO2,0.08202124094061858,0.9611914545060143
ma.L1,AIX-EN-PROVENCE,NO2,0.3906255873589058,0.798757051723447
ar.S.L12,AIX-EN-PROVENCE,NO2,-4.008165128554095e-09,0.9999999929152446
ma.S.L12,AIX-EN-PROVENCE,NO2,4.078106482069099e-08,0.9999999566709311
ma.S.L24,AIX-EN-PROVENCE,NO2,6.218852306644766e-12,0.9999999992227001
sigma2,AIX-EN-PROVENCE,NO2,27.352641724585748,0.2471153360960202
const,AJACCIO,NO2,-489.17565893673867,0.0
pression_niveau_mer_Pa,AJACCIO,NO2,0.0050962194381731505,3.4608099217776858e-06
var_pression_3h_Pa,AJACCIO,NO2,0.12784533265545187,0.4544676416406902
direction_vent_moyen_10mn_deg,AJACCIO,NO2,-0.04938301181276945,0.745435880799185
vitesse_vent_moyen_10mn_m/s,AJACCIO,NO2,1.9459725698301997,0.7414888367436567
temperature_K,AJACCIO,NO2,0.2514135782389108,0.4759088344069866
humidite_%,AJACCIO,NO2,-0.7031773266178805,0.13458812322352043
visibilite_horizontale_m,AJACCIO,NO2,-0.0001296189747454353,0.7620923047011359
precipitations_24h_mm,AJACCIO,NO2,0.6993696562915833,0.701539476481849
ar.L1,AJACCIO,NO2,0.5914779106181781,0.4088581228261242
ma.L1,AJACCIO,NO2,0.10850285189322703,0.8405342235995623
ar.S.L12,AJACCIO,NO2,-0.024993485238280683,0.984061738177754
ma.S.L12,AJACCIO,NO2,-0.03291596888489129,0.974926849628143
ma.S.L24,AJACCIO,NO2,0.0001346551892387298,0.9995888398701792
sigma2,AJACCIO,NO2,12.920808812970446,0.18332016664054473
const,ALBI,NO2,-237.33008613280475,0.0
pression_niveau_mer_Pa,ALBI,NO2,0.005154438732137469,0.047072342407193817
var_pression_3h_Pa,ALBI,NO2,-0.08341671564000602,0.8491627111561998
direction_vent_moyen_10mn_deg,ALBI,NO2,-0.07707587679114748,0.6237379835478671
vitesse_vent_moyen_10mn_m/s,ALBI,NO2,-3.0450864071592916,0.682386788250162
temperature_K,ALBI,NO2,-0.9680450087586387,0.25489932125386083
humidite_%,ALBI,NO2,0.37818341747151485,0.6752055308588076
visibilite_horizontale_m,ALBI,NO2,0.0005353310191895126,0.45498982673730826
precipitations_24h_mm,ALBI,NO2,-2.8030653030220085,0.31100598765991805
ar.L1,ALBI,NO2,0.2764715095030354,0.7902795786751302
ma.L1,ALBI,NO2,0.21099933011575756,0.8429534835192224
ar.S.L12,ALBI,NO2,1.2127513449543922e-07,0.9999998482738484
ma.S.L12,ALBI,NO2,-3.808504501441349e-08,0.999999983700884
ma.S.L24,ALBI,NO2,6.993522380423221e-12,0.9999999994095762
sigma2,ALBI,NO2,24.980135961991095,0.25860820059148915
const,AMBES,NO2,-335.1972233331684,0.0
pression_niveau_mer_Pa,AMBES,NO2,0.004395555941990897,0.07173884770741978
var_pression_3h_Pa,AMBES,NO2,0.0056459663097171535,0.970104685573431
direction_vent_moyen_10mn_deg,AMBES,NO2,-0.016267706886337933,0.9270433945343637
vitesse_vent_moyen_10mn_m/s,AMBES,NO2,0.6397449413976037,0.9116542081012222
temperature_K,AMBES,NO2,-0.5004049232820209,0.4123928720880523
humidite_%,AMBES,NO2,0.4962522327103446,0.7297084794944628
visibilite_horizontale_m,AMBES,NO2,0.00014492283129152977,0.8468578474532885
precipitations_24h_mm,AMBES,NO2,0.49866460176188887,0.8171019136470878
ar.L1,AMBES,NO2,-0.13876141006636444,0.9655445743901138
ma.L1,AMBES,NO2,0.3799071042070542,0.8890159162929729
ar.S.L12,AMBES,NO2,0.0,1.0
ma.S.L12,AMBES,NO2,0.0,1.0
ma.S.L24,AMBES,NO2,0.0,1.0
sigma2,AMBES,NO2,8.039605140378058,0.19322410365011922
const,AMIENS,NO2,325.90434500244623,0.0
pression_niveau_mer_Pa,AMIENS,NO2,0.00042670036021329877,0.8552078611428647
var_pression_3h_Pa,AMIENS,NO2,0.03751989732985089,0.8550323707852509
direction_vent_moyen_10mn_deg,AMIENS,NO2,0.04263615153283806,0.8359914171437792
vitesse_vent_moyen_10mn_m/s,AMIENS,NO2,-0.9209577937304694,0.889523325948018
temperature_K,AMIENS,NO2,-1.1171601823524657,0.2689483752342591
humidite_%,AMIENS,NO2,-0.13687469822328047,0.926151799049987
visibilite_horizontale_m,AMIENS,NO2,-0.0011629105087580455,0.3363092062783408
precipitations_24h_mm,AMIENS,NO2,-0.0271232202226388,0.9920643069022997
ar.L1,AMIENS,NO2,0.32817597781594826,0.7524841827373673
ma.L1,AMIENS,NO2,0.24714176787509626,0.8523502587130385
ar.S.L12,AMIENS,NO2,0.0,1.0
ma.S.L12,AMIENS,NO2,0.0,1.0
ma.S.L24,AMIENS,NO2,0.0,1.0
sigma2,AMIENS,NO2,17.45972215800186,0.10686404036884506
const,ANGERS,NO2,121.6272640488018,0.0
pression_niveau_mer_Pa,ANGERS,NO2,0.0015122795166068583,0.7779601682455658
var_pression_3h_Pa,ANGERS,NO2,0.005977279991809009,0.9843340068079824
direction_vent_moyen_10mn_deg,ANGERS,NO2,-0.05303091636204494,0.553728629954629
vitesse_vent_moyen_10mn_m/s,ANGERS,NO2,-1.205046427563771,0.8227437937503628
temperature_K,ANGERS,NO2,-0.9499054738571457,0.6169538322768904
humidite_%,ANGERS,NO2,0.36319465208480584,0.572893818709089
visibilite_horizontale_m,ANGERS,NO2,-2.3236261549411133e-05,0.9719048224857717
precipitations_24h_mm,ANGERS,NO2,0.3291593765844285,0.9361604070737752
ar.L1,ANGERS,NO2,0.05875076843275781,0.9792068460368385
ma.L1,ANGERS,NO2,0.3489083262273392,0.8808815564871468
ar.S.L12,ANGERS,NO2,2.0454794857104921e-07,0.9999996941395577
ma.S.L12,ANGERS,NO2,1.023309919752221e-07,0.9999999419949603
ma.S.L24,ANGERS,NO2,8.15860381620048e-12,0.9999999983889215
sigma2,ANGERS,NO2,22.37704819464399,0.07323420839622459
const,ANGLET,NO2,-585.6135354890201,0.0
pression_niveau_mer_Pa,ANGLET,NO2,0.009354567589218783,6.6692253560417025e-06
var_pression_3h_Pa,ANGLET,NO2,-0.06690485977983375,0.6841068683990771
direction_vent_moyen_10mn_deg,ANGLET,NO2,-0.13136857171440497,0.227932380071858
vitesse_vent_moyen_10mn_m/s,ANGLET,NO2,0.601039446967394,0.9458631603148973
temperature_K,ANGLET,NO2,-0.9733245161064767,0.132572550932898
humidite_%,ANGLET,NO2,-0.36266429328229877,0.5683320642603547
visibilite_horizontale_m,ANGLET,NO2,7.498019419536669e-05,0.8090930956716675
precipitations_24h_mm,ANGLET,NO2,-0.2116246281691418,0.893567808222105
ar.L1,ANGLET,NO2,0.19798780006551756,0.9404736806551255
ma.L1,ANGLET,NO2,0.0587741246424512,0.9794404096799428
ar.S.L12,ANGLET,NO2,0.0007288537816536823,0.9989645883168004
ma.S.L12,ANGLET,NO2,0.0003866774886360766,0.9996769974055131
ma.S.L24,ANGLET,NO2,2.1679432420441973e-08,0.9999970910259917
sigma2,ANGLET,NO2,18.522697114299948,0.2830566382423676
const,ANGOULEME,NO2,-843.6176185725316,0.0
pression_niveau_mer_Pa,ANGOULEME,NO2,0.01091117454617507,0.0714451898046213
var_pression_3h_Pa,ANGOULEME,NO2,-0.06319746499840286,0.8250427014593782
direction_vent_moyen_10mn_deg,ANGOULEME,NO2,0.03432309116676559,0.8077694170652422
vitesse_vent_moyen_10mn_m/s,ANGOULEME,NO2,-2.8548121726993267,0.6958370358245365
temperature_K,ANGOULEME,NO2,-0.7897097768563822,0.7025692730117994
humidite_%,ANGOULEME,NO2,0.0680140798486244,0.9415112134341487
visibilite_horizontale_m,ANGOULEME,NO2,-0.00020729730122899664,0.7954680281963944
precipitations_24h_mm,ANGOULEME,NO2,0.7407777495615373,0.823927745066751
ar.L1,ANGOULEME,NO2,0.11527724167108713,0.9211496183429064
ma.L1,ANGOULEME,NO2,0.40294034446783034,0.6523556338938392
ar.S.L12,ANGOULEME,NO2,0.0,1.0
ma.S.L12,ANGOULEME,NO2,0.0,1.0
ma.S.L24,ANGOULEME,NO2,0.0,1.0
sigma2,ANGOULEME,NO2,51.489729039782056,0.09213464193119952
const,ANNECY,NO2,-1364.3203257605612,0.0
pression_niveau_mer_Pa,ANNECY,NO2,0.015453687528126684,3.160017547543833e-27
var_pression_3h_Pa,ANNECY,NO2,-0.012369824773921647,0.9453508693090068
direction_vent_moyen_10mn_deg,ANNECY,NO2,-0.016480188222157417,0.8486437060933288
vitesse_vent_moyen_10mn_m/s,ANNECY,NO2,4.538938309986575,0.36342311441694486
temperature_K,ANNECY,NO2,-0.563362150493917,0.2701130327445067
humidite_%,ANNECY,NO2,-0.12211197175316112,0.9254747405573983
visibilite_horizontale_m,ANNECY,NO2,-0.00024326736058582961,0.8369349371650375
precipitations_24h_mm,ANNECY,NO2,0.36618867336572153,0.933323430923383
ar.L1,ANNECY,NO2,-0.002456030367940213,0.9995061702285368
ma.L1,ANNECY,NO2,0.35024487083811423,0.9318200570881442
ar.S.L12,ANNECY,NO2,0.00020161180729822028,0.999911365684057
ma.S.L12,ANNECY,NO2,0.0018936150228709141,0.99940091465942
ma.S.L24,ANNECY,NO2,4.546457148688598e-08,0.9999945107015417
sigma2,ANNECY,NO2,20.153255430627688,0.17160736209934346
const,ANNEMASSE,NO2,-606.8846404114546,0.0
pression_niveau_mer_Pa,ANNEMASSE,NO2,0.009453174840624367,0.00016768051182770432
var_pression_3h_Pa,ANNEMASSE,NO2,0.03236460560193677,0.8535243600480626
direction_vent_moyen_10mn_deg,ANNEMASSE,NO2,-0.09199580582546209,0.3593731597612121
vitesse_vent_moyen_10mn_m/s,ANNEMASSE,NO2,5.169383743082177,0.25278304699376875
temperature_K,ANNEMASSE,NO2,-1.021891977202415,0.24917062763615194
humidite_%,ANNEMASSE,NO2,-0.18405363668101163,0.6774473533502656
visibilite_horizontale_m,ANNEMASSE,NO2,-0.00023196673627945958,0.7085392518633258
precipitations_24h_mm,ANNEMASSE,NO2,-0.28060715823555876,0.9423482417563783
ar.L1,ANNEMASSE,NO2,-0.39561116699201615,0.548762213771246
